ToiletID,Latitude,Longitude
4363,-37.81823386,144.9669741
4367,-37.80981201,144.9628186
4395,-37.81195695,144.9561421
11517,-37.81532739,144.9668406
11518,-37.81380915,144.9631715
11981,-37.83553499,144.9733124
12601,-37.8203652,144.9733432
12602,-37.8228095,144.9751411
13626,-37.8461487,144.9306358
17608,-37.81756139,144.9603089
17674,-37.8269196,144.9746481
18175,-37.814009,144.972077
18239,-37.81080858,144.9649768
18253,-37.81421293,144.9643134
19310,-37.8217209,144.9555637
34699,-37.8324347,144.9797515
34701,-37.82951167,144.9820956
40097,-37.8276367,144.9818233
40267,-37.81320918,144.9670223
40497,-37.813309,144.964402
43197,-37.8063998,144.9590201
50677,-37.8141189,144.9728415
